sample_id,dataset,tactile,vision,caption,class,inferred_class,label_status
hct/0-1705341659.336344/258-0.021666765213012695.jpg,hct,images/hct/data3/0-1705341659.336344/tactile/258-0.021666765213012695.jpg,images/hct/data3/0-1705341659.336344/vision/258-0.021666765213012695.jpg,"hard, smooth, glossy, uneven",,creamic,inferred_from_recording_requires_review
hct/1-1705015680.277741/229-0.023630857467651367.jpg,hct,images/hct/data3/1-1705015680.277741/tactile/229-0.023630857467651367.jpg,images/hct/data3/1-1705015680.277741/vision/229-0.023630857467651367.jpg,"smooth, rigid, grainy, uneven",,crystal,inferred_from_recording_requires_review
hct/15-1702598215.824946/162-0.021606922149658203.jpg,hct,images/hct/data2/15-1702598215.824946/tactile/162-0.021606922149658203.jpg,images/hct/data2/15-1702598215.824946/vision/162-0.021606922149658203.jpg,"hard, smooth, text",,glass,inferred_from_recording_requires_review
hct/17-1702597724.763801/226-0.02023911476135254.jpg,hct,images/hct/data2/17-1702597724.763801/tactile/226-0.02023911476135254.jpg,images/hct/data2/17-1702597724.763801/vision/226-0.02023911476135254.jpg,"text, ridged, uneven",,glass,inferred_from_recording_requires_review
hct/17-1702597724.763801/291-0.022284984588623047.jpg,hct,images/hct/data2/17-1702597724.763801/tactile/291-0.022284984588623047.jpg,images/hct/data2/17-1702597724.763801/vision/291-0.022284984588623047.jpg,"hard, text, ridged",,glass,inferred_from_recording_requires_review
hct/17-1702597724.763801/302-0.019959688186645508.jpg,hct,images/hct/data2/17-1702597724.763801/tactile/302-0.019959688186645508.jpg,images/hct/data2/17-1702597724.763801/vision/302-0.019959688186645508.jpg,slippery,,glass,inferred_from_recording_requires_review
hct/18-1702597738.9774668/162-0.020871877670288086.jpg,hct,images/hct/data2/18-1702597738.9774668/tactile/162-0.020871877670288086.jpg,images/hct/data2/18-1702597738.9774668/vision/162-0.020871877670288086.jpg,"smooth, text, hard",,glass,inferred_from_recording_requires_review
hct/19-1702597754.1510248/310-0.021368980407714844.jpg,hct,images/hct/data2/19-1702597754.1510248/tactile/310-0.021368980407714844.jpg,images/hct/data2/19-1702597754.1510248/vision/310-0.021368980407714844.jpg,"hard, text, uneven",,glass,inferred_from_recording_requires_review
hct/2-1705015423.851567/163-0.022790908813476562.jpg,hct,images/hct/data3/2-1705015423.851567/tactile/163-0.022790908813476562.jpg,images/hct/data3/2-1705015423.851567/vision/163-0.022790908813476562.jpg,"uneven, grainy, bumpy, hard",,coral,inferred_from_recording_requires_review
hct/21-1702597768.544675/389-0.020887136459350586.jpg,hct,images/hct/data2/21-1702597768.544675/tactile/389-0.020887136459350586.jpg,images/hct/data2/21-1702597768.544675/vision/389-0.020887136459350586.jpg,"smooth, hard, sleek",,glass,inferred_from_recording_requires_review
hct/21-1702597768.544675/415-0.021257877349853516.jpg,hct,images/hct/data2/21-1702597768.544675/tactile/415-0.021257877349853516.jpg,images/hct/data2/21-1702597768.544675/vision/415-0.021257877349853516.jpg,"smooth, glossy, text",,glass,inferred_from_recording_requires_review
hct/28-1702597081.044408/101-0.021686077117919922.jpg,hct,images/hct/data2/28-1702597081.044408/tactile/101-0.021686077117919922.jpg,images/hct/data2/28-1702597081.044408/vision/101-0.021686077117919922.jpg,textured,,coin,inferred_from_recording_requires_review
hct/3-1702597579.7214022/181-0.021322965621948242.jpg,hct,images/hct/data2/3-1702597579.7214022/tactile/181-0.021322965621948242.jpg,images/hct/data2/3-1702597579.7214022/vision/181-0.021322965621948242.jpg,"textured, stiff, ridged",,cardboard,inferred_from_recording_requires_review
hct/3-1702597579.7214022/313-0.021445035934448242.jpg,hct,images/hct/data2/3-1702597579.7214022/tactile/313-0.021445035934448242.jpg,images/hct/data2/3-1702597579.7214022/vision/313-0.021445035934448242.jpg,"dry, grainy, fibrous",,cardboard,inferred_from_recording_requires_review
hct/3-1702597579.7214022/316-0.021296024322509766.jpg,hct,images/hct/data2/3-1702597579.7214022/tactile/316-0.021296024322509766.jpg,images/hct/data2/3-1702597579.7214022/vision/316-0.021296024322509766.jpg,"textured, stiff, ridged",,cardboard,inferred_from_recording_requires_review
hct/3-1705015435.6825202/231-0.023952007293701172.jpg,hct,images/hct/data3/3-1705015435.6825202/tactile/231-0.023952007293701172.jpg,images/hct/data3/3-1705015435.6825202/vision/231-0.023952007293701172.jpg,"hard, grainy, rigid, firm, bumpy",,coral,inferred_from_recording_requires_review
