sample_id,dataset,tactile,vision,caption,class
hct/22-1702597786.178913/162-0.02175593376159668.jpg,hct,images/hct/data2/22-1702597786.178913/tactile/162-0.02175593376159668.jpg,images/hct/data2/22-1702597786.178913/vision/162-0.02175593376159668.jpg,"rigid, smooth, solid, matte",plastic
hct/29-1702597088.792554/115-0.023208141326904297.jpg,hct,images/hct/data2/29-1702597088.792554/tactile/115-0.023208141326904297.jpg,images/hct/data2/29-1702597088.792554/vision/115-0.023208141326904297.jpg,"polished, hard, reflective, cool",plastic
hct/3-1705116969.932406/164-0.02090287208557129.jpg,hct,images/hct/data3/3-1705116969.932406/tactile/164-0.02090287208557129.jpg,images/hct/data3/3-1705116969.932406/vision/164-0.02090287208557129.jpg,"soft, plush, textured, cushioned, fibrous",plastic
hct/0-1705116422.178774/279-0.020939111709594727.jpg,hct,images/hct/data3/0-1705116422.178774/tactile/279-0.020939111709594727.jpg,images/hct/data3/0-1705116422.178774/vision/279-0.020939111709594727.jpg,"smooth, curved, glossy",plastic
hct/1-1702594722.895038/4-0.020843982696533203.jpg,hct,images/hct/data2/1-1702594722.895038/tactile/4-0.020843982696533203.jpg,images/hct/data2/1-1702594722.895038/vision/4-0.020843982696533203.jpg,"textured, rigid, plastic, grid-like, perforated",plastic
hct/5-1702598948.108077/65-0.02156805992126465.jpg,hct,images/hct/data2/5-1702598948.108077/tactile/65-0.02156805992126465.jpg,images/hct/data2/5-1702598948.108077/vision/65-0.02156805992126465.jpg,"matte, hard, sleek",plastic
ssvtp/2113,ssvtp,images/ssvtp/tactile/image_2113_tac.jpg,images/ssvtp/vision/image_2113_rgb.jpg,"lined, fuzzy",cotton
hct/14-1702596952.141369/360-0.020437002182006836.jpg,hct,images/hct/data2/14-1702596952.141369/tactile/360-0.020437002182006836.jpg,images/hct/data2/14-1702596952.141369/vision/360-0.020437002182006836.jpg,"firm, slippery, metallic, cloth-like.",metal
hct/0-1705116237.6921878/262-0.020379066467285156.jpg,hct,images/hct/data3/0-1705116237.6921878/tactile/262-0.020379066467285156.jpg,images/hct/data3/0-1705116237.6921878/vision/262-0.020379066467285156.jpg,"cushioned, fibrous, cushioned.",plastic
hct/32-1702596526.8491058/71-0.020228147506713867.jpg,hct,images/hct/data2/32-1702596526.8491058/tactile/71-0.020228147506713867.jpg,images/hct/data2/32-1702596526.8491058/vision/71-0.020228147506713867.jpg,"woven., fibrous., fibrous, soft, flexible",fabric
hct/45-1702597241.212863/63-0.02130293846130371.jpg,hct,images/hct/data2/45-1702597241.212863/tactile/63-0.02130293846130371.jpg,images/hct/data2/45-1702597241.212863/vision/63-0.02130293846130371.jpg,"polished, sleek, hard, cool, smooth",plastic
ssvtp/1697,ssvtp,images/ssvtp/tactile/image_1697_tac.jpg,images/ssvtp/vision/image_1697_rgb.jpg,"fabric, coarse, sewn",cotton
