sample_id,dataset,tactile,vision,caption,class
hct/1-1705114821.7492092/130-0.022464990615844727.jpg,hct,images/hct/data3/1-1705114821.7492092/tactile/130-0.022464990615844727.jpg,images/hct/data3/1-1705114821.7492092/vision/130-0.022464990615844727.jpg,"uneven, warm, plush, yielding",carpet
hct/16-1702598226.8016808/128-0.02116107940673828.jpg,hct,images/hct/data2/16-1702598226.8016808/tactile/128-0.02116107940673828.jpg,images/hct/data2/16-1702598226.8016808/vision/128-0.02116107940673828.jpg,"solid, hard, cool, reflective",wall
hct/2-1705102964.198714/557-0.024606943130493164.jpg,hct,images/hct/data3/2-1705102964.198714/tactile/557-0.024606943130493164.jpg,images/hct/data3/2-1705102964.198714/vision/557-0.024606943130493164.jpg,"textured, soft, plush, fibrous, cushioned.",synthetic
ssvtp/3284,ssvtp,images/ssvtp/tactile/image_3284_tac.jpg,images/ssvtp/vision/image_3284_rgb.jpg,"lined, coarse, grainy, fabric",canvas
ssvtp/2432,ssvtp,images/ssvtp/tactile/image_2432_tac.jpg,images/ssvtp/vision/image_2432_rgb.jpg,"lined, grainy, fabric",jeans
hct/0-1705099859.0563421/116-0.022253036499023438.jpg,hct,images/hct/data3/0-1705099859.0563421/tactile/116-0.022253036499023438.jpg,images/hct/data3/0-1705099859.0563421/vision/116-0.022253036499023438.jpg,"yielding, cushioned, uneven",towel
ssvtp/2631,ssvtp,images/ssvtp/tactile/image_2631_tac.jpg,images/ssvtp/vision/image_2631_rgb.jpg,"grainy, patterned, fabric",polyster
hct/0-1705103672.196744/169-0.023819923400878906.jpg,hct,images/hct/data3/0-1705103672.196744/tactile/169-0.023819923400878906.jpg,images/hct/data3/0-1705103672.196744/vision/169-0.023819923400878906.jpg,"warm., firm, pliable",synthetic
hct/39-1702597184.557148/152-0.021709203720092773.jpg,hct,images/hct/data2/39-1702597184.557148/tactile/152-0.021709203720092773.jpg,images/hct/data2/39-1702597184.557148/vision/152-0.021709203720092773.jpg,"flat, matte, smooth, rigid, warm",wood
hct/1-1704392825.593138/215-0.021864891052246094.jpg,hct,images/hct/data3/1-1704392825.593138/tactile/215-0.021864891052246094.jpg,images/hct/data3/1-1704392825.593138/vision/215-0.021864891052246094.jpg,"smooth, polished, varnished, grained, firm",cable
